year,sport,country,countrycode,numeric,number_of_athletes,Bronze_medal_count,Silver_medal_count,Gold_medal_count,medal_count
1948,Fencing,Denmark,DNK,208,23,0,1,0,1
1948,Fencing,Egypt,EGY,818,24,0,0,0,0
1948,Fencing,Finland,FIN,246,17,0,0,0,0
1948,Fencing,France,FRA,250,30,0,1,13,14
1948,Fencing,United Kingdom,GBR,826,29,0,0,0,0
1948,Fencing,Greece,GRC,300,22,0,0,0,0
1948,Fencing,Hungary,HUN,348,30,2,0,8,10
1948,Fencing,Ireland,IRL,372,8,0,0,0,0
1948,Fencing,Italy,ITA,380,30,1,19,1,21
1948,Fencing,Luxembourg,LUX,442,11,0,0,0,0
1948,Fencing,Mexico,MEX,484,18,0,0,0,0
1948,Fencing,Netherlands,NLD,528,18,0,0,0,0
1948,Fencing,Norway,NOR,578,8,0,0,0,0
1948,Fencing,Peru,PER,604,3,0,0,0,0
1948,Fencing,Poland,POL,616,16,0,0,0,0
1948,Fencing,Portugal,PRT,620,9,0,0,0,0
1948,Fencing,Sweden,SWE,752,12,6,0,0,6
1948,Fencing,Turkey,TUR,792,10,0,0,0,0
1948,Fencing,Uruguay,URY,858,9,0,0,0,0
1948,Fencing,United States,USA,840,30,6,0,0,6
1948,Football,Afghanistan,AFG,004,11,0,0,0,0
1948,Football,Austria,AUT,040,11,0,0,0,0
1948,Football,China,CHN,156,11,0,0,0,0
1948,Football,Denmark,DNK,208,13,13,0,0,13
1948,Football,Egypt,EGY,818,11,0,0,0,0
1948,Football,France,FRA,250,12,0,0,0,0
1948,Football,United Kingdom,GBR,826,19,0,0,0,0
1948,Football,India,IND,356,11,0,0,0,0
1948,Football,Ireland,IRL,372,11,0,0,0,0
1948,Football,Italy,ITA,380,12,0,0,0,0
1948,Football,South Korea,KOR,410,11,0,0,0,0
1948,Football,Luxembourg,LUX,442,12,0,0,0,0
1948,Football,Mexico,MEX,484,11,0,0,0,0
1948,Football,Netherlands,NLD,528,12,0,0,0,0
1948,Football,Sweden,SWE,752,12,0,0,12,12
1948,Football,Turkey,TUR,792,12,0,0,0,0
1948,Football,United States,USA,840,11,0,0,0,0
1948,Gymnastics,Argentina,ARG,032,55,0,0,0,0
1948,Gymnastics,Austria,AUT,040,67,0,0,0,0
1948,Gymnastics,Belgium,BEL,056,8,0,0,0,0
1948,Gymnastics,Switzerland,CHE,756,64,2,11,3,16
1948,Gymnastics,Cuba,CUB,192,56,0,0,0,0
1948,Gymnastics,Denmark,DNK,208,64,0,0,0,0
1948,Gymnastics,Egypt,EGY,818,64,0,0,0,0
1948,Gymnastics,Finland,FIN,246,64,2,2,13,17
1948,Gymnastics,France,FRA,250,72,0,0,0,0
1948,Gymnastics,United Kingdom,GBR,826,72,0,0,0,0
1948,Gymnastics,Hungary,HUN,348,72,10,9,1,20
1948,Gymnastics,Italy,ITA,380,72,0,0,0,0
1948,Gymnastics,Luxembourg,LUX,442,64,0,0,0,0
1948,Gymnastics,Mexico,MEX,484,35,0,0,0,0
1948,Gymnastics,Netherlands,NLD,528,8,0,0,0,0
1948,Gymnastics,Sweden,SWE,752,8,0,0,0,0
1948,Gymnastics,United States,USA,840,71,8,0,0,8
1948,Hockey,Afghanistan,AFG,004,14,0,0,0,0
1948,Hockey,Argentina,ARG,032,12,0,0,0,0
1948,Hockey,Austria,AUT,040,12,0,0,0,0
1948,Hockey,Belgium,BEL,056,13,0,0,0,0
1948,Hockey,Switzerland,CHE,756,15,0,0,0,0
1948,Hockey,Denmark,DNK,208,16,0,0,0,0
1948,Hockey,Spain,ESP,724,14,0,0,0,0
1948,Hockey,France,FRA,250,14,0,0,0,0
1948,Hockey,United Kingdom,GBR,826,12,0,12,0,12
1948,Hockey,India,IND,356,20,0,0,20,20
1948,Hockey,Netherlands,NLD,528,12,12,0,0,12
1948,Hockey,Pakistan,PAK,586,19,0,0,0,0
1948,Hockey,United States,USA,840,14,0,0,0,0
1948,Modern Pentathlon,Argentina,ARG,032,3,0,0,0,0
1948,Modern Pentathlon,Belgium,BEL,056,3,0,0,0,0
1948,Modern Pentathlon,Brazil,BRA,076,3,0,0,0,0
1948,Modern Pentathlon,Switzerland,CHE,756,3,0,0,0,0
1948,Modern Pentathlon,Chile,CHL,152,2,0,0,0,0
1948,Modern Pentathlon,Spain,ESP,724,3,0,0,0,0
1948,Modern Pentathlon,Finland,FIN,246,3,0,0,0,0
1948,Modern Pentathlon,France,FRA,250,3,0,0,0,0
1948,Modern Pentathlon,United Kingdom,GBR,826,3,0,0,0,0
1948,Modern Pentathlon,Hungary,HUN,348,3,0,0,0,0
1948,Modern Pentathlon,Italy,ITA,380,3,0,0,0,0
1948,Modern Pentathlon,Mexico,MEX,484,2,0,0,0,0
1948,Modern Pentathlon,Sweden,SWE,752,3,1,0,1,2
